Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
272,-170.80000,-170.80000,-169.62272,-183.20000,-182.60000,-182.78718,-1.17728,-1.17728,-0.41282,0.18718,1.38599,1.38599,0.17042,0.03504,0.0023735,0.0023735,0.0008323,0.0003774
273,-170.40000,-170.40000,-169.82956,-183.20000,-182.70000,-182.83489,-0.57044,-0.57044,-0.36511,0.13489,0.32541,0.32541,0.13330,0.01820,0.0011501,0.0011501,0.0007361,0.0002720
274,-170.30000,-170.30000,-170.10551,-183.20000,-182.70000,-182.88214,-0.19449,-0.19449,-0.31786,0.18214,0.03783,0.03783,0.10104,0.03317,0.0003921,0.0003921,0.0006408,0.0003672
275,-170.30000,-170.30000,-170.38147,-183.20000,-182.70000,-182.92799,0.08147,0.08147,-0.27201,0.22799,0.00664,0.00664,0.07399,0.05198,0.0001642,0.0001642,0.0005484,0.0004596
276,-170.60000,-170.60000,-170.65742,-183.20000,-182.70000,-182.97383,0.05742,0.05742,-0.22617,0.27383,0.00330,0.00330,0.05115,0.07498,0.0001158,0.0001158,0.0004560,0.0005521
277,-170.90000,-170.90000,-170.96902,-183.20000,-182.70000,-183.01968,0.06902,0.06902,-0.18032,0.31968,0.00476,0.00476,0.03252,0.10219,0.0001391,0.0001391,0.0003636,0.0006445
278,-171.20000,-171.20000,-171.28106,-183.10000,-182.70000,-183.06553,0.08106,0.08106,-0.03447,0.36553,0.00657,0.00657,0.00119,0.13361,0.0001634,0.0001634,0.0000695,0.0007369
279,-171.30000,-171.30000,-171.59310,-183.10000,-182.70000,-183.11288,0.29310,0.29310,0.01288,0.41288,0.08591,0.08591,0.00017,0.17047,0.0005909,0.0005909,0.0000260,0.0008324
280,-171.40000,-171.40000,-171.95404,-183.10000,-182.80000,-183.16152,0.55404,0.55404,0.06152,0.36152,0.30696,0.30696,0.00378,0.13070,0.0011170,0.0011170,0.0001240,0.0007289
281,-171.60000,-171.60000,-172.31646,-183.10000,-182.80000,-183.21016,0.71646,0.71646,0.11016,0.41016,0.51331,0.51331,0.01214,0.16823,0.0014445,0.0014445,0.0002221,0.0008269
282,-171.90000,-171.90000,-172.67888,-183.10000,-182.80000,-183.25881,0.77888,0.77888,0.15881,0.45881,0.60666,0.60666,0.02522,0.21050,0.0015703,0.0015703,0.0003202,0.0009250
283,-172.30000,-172.30000,-173.04130,-183.10000,-182.80000,-183.30745,0.74130,0.74130,0.20745,0.50745,0.54953,0.54953,0.04304,0.25751,0.0014946,0.0014946,0.0004182,0.0010231
284,-172.60000,-172.60000,-173.49021,-183.00000,-182.90000,-183.35609,0.89021,0.89021,0.35609,0.45609,0.79248,0.79248,0.12680,0.20802,0.0017948,0.0017948,0.0007179,0.0009195
285,-172.90000,-172.90000,-173.95561,-183.00000,-182.90000,-183.40474,1.05561,1.05561,0.40474,0.50474,1.11431,1.11431,0.16381,0.25476,0.0021282,0.0021282,0.0008160,0.0010176
286,-173.20000,-173.20000,-174.37089,-183.00000,-182.90000,-183.45338,1.17089,1.17089,0.45338,0.55338,1.37098,1.37098,0.20555,0.30623,0.0023607,0.0023607,0.0009141,0.0011157
